GeneID	GeneSymbol	logFC	logCPM	LR	PValue	FDR
10437	IFI30	1.65521737024848	2.20846176746059	28.4638704845402	9.54633882365281e-08	0.000343406633963383
10581	IFITM2	1.24292484072186	1.61448700177117	13.8479652179281	0.000198211248501223	0.0356947413415396
10875	FGL2	1.21595328036171	3.48781084246556	18.7613013199455	1.48142844422654e-05	0.00738097031861805
11037	STON1	1.3871959824104	1.75480359623797	21.0542408462626	4.46463605048312e-06	0.00290143108898136
116496	FAM129A	1.05358291319248	3.12093435136857	16.437849074489	5.02713739192376e-05	0.0156542963743926
12	SERPINA3	3.11404614196764	5.99893275664484	26.2057636592841	3.06905147187527e-07	0.000573413904376496
1230	CCR1	1.40422011756403	1.50384273767534	21.8330627791188	2.97430469349493e-06	0.00234969054454003
1356	CP	2.02981638787936	5.34868579439541	39.247340172372	3.73376662145511e-10	5.58086096908896e-06
151887	CCDC80	1.04386136012948	2.94209874841855	13.2914514083388	0.000266619000061834	0.0433168934122199
1536	CYBB	1.15682966070442	4.859997164459	24.9459432445148	5.89604636879522e-07	0.000881282050743821
187	APLNR	1.16259591752471	5.12070382290787	16.1230808215801	5.93562245132534e-05	0.0168443304002124
2012	EMP1	1.36758749484639	3.84016172954429	13.3807627107009	0.000254218328559077	0.0422200150774725
2207	FCER1G	1.34575692479318	2.49076814560986	21.6329987988535	3.30123111228612e-06	0.00234969054454003
2209	FCGR1A	1.61371760197621	2.96290542215691	23.5841841653332	1.19566245286079e-06	0.00159617639648026
2212	FCGR2A	1.13882052354471	3.32198347944571	14.4270973581221	0.000145690800736158	0.0284706109979275
2214	FCGR3A	1.64616986562654	3.87055694669732	16.1919997585662	5.72353249051017e-05	0.0168443304002124
22918	CD93	1.73801333954951	2.93441468414506	18.1289990532943	2.06433531753368e-05	0.00881589142605024
2327	FMO2	1.30064032448307	1.61610006942581	15.5550091674911	8.01390337404724e-05	0.0190898389690586
25932	CLIC4	1.04025529482089	7.23988456367611	21.7663762121553	3.07949994161109e-06	0.00234969054454003
2670	GFAP	1.1016773988194	12.0304417282177	18.8032678587051	1.44918609961808e-05	0.00738097031861805
2766	GMPR	1.12276860506048	3.63137465565936	14.4543902631033	0.00014359475257788	0.0284706109979275
284	ANGPT1	1.01250404793293	3.02370847828832	21.7102800193511	3.17087507955346e-06	0.00234969054454003
2846	LPAR4	1.4163982020163	0.301401330859495	25.846776449168	3.69621464451874e-07	0.000613859114351351
302	ANXA2	1.28333403039909	2.43173157786652	17.1658524799485	3.42538766517698e-05	0.0124876266905855
3113	HLA-DPA1	1.23472925644557	4.59321028192031	16.0693736403285	6.10636582831469e-05	0.0168983310776948
